price,name,address,ward,line_station,line,station,bus_time,walk_time,area,balcony,floor_plan,age,renovation,reform
1350万円,六郷東豊エステート,東京都大田区東六郷３-8-4,大田区,京急本線「雑色」徒歩8分,京急本線,雑色,0,8,24.05m2（壁芯）,5.55m2,1K,1974年6月,1,0
1380万円,パルテノン上町,東京都世田谷区世田谷２-８－２,世田谷区,東急世田谷線「上町」徒歩3分,東急世田谷線,上町,0,3,20.4m2（登記）,2.42m2,1K,1970年9月,0,0
1480万円,ストーク武蔵小山,東京都品川区平塚３,品川区,東急池上線「戸越銀座」徒歩5分,東急池上線,戸越銀座,0,5,18.98m2（5.74坪）（壁芯）,2.25m2,1K,1990年1月,0,1
1500万円,ヴェラハイツ大森,東京都品川区南大井３,品川区,ＪＲ京浜東北線「大森」徒歩8分,ＪＲ京浜東北線,大森,0,8,19.93m2（壁芯）,2.75m2,1K,1987年12月,0,0
1650万円,コーポ大岡山,東京都目黒区大岡山１-31-11,目黒区,東急大井町線「大岡山」徒歩10分,東急大井町線,大岡山,0,10,26.86m2（登記）,4m2,1DK,1969年7月,0,0
1980万円,上祖師谷ハイツ,東京都世田谷区上祖師谷５,世田谷区,京王線「仙川」徒歩12分,京王線,仙川,0,12,40.5m2（壁芯）,4.35m2,1LDK,1978年5月,1,0
2080万円,【Access 成城】上質リノベ×最上階×角部屋♪成…,東京都世田谷区喜多見６,世田谷区,小田急線「成城学園前」徒歩13分,小田急線,成城学園前,0,13,43.95m2（壁芯）,2.21m2,2LDK,1977年9月,0,0
2090万円,三洋マンション,東京都世田谷区若林５,世田谷区,東急世田谷線「若林」徒歩5分,東急世田谷線,若林,0,5,37.68m2（登記）,-,1LDK,1966年3月,0,1
2190万円,シティハイツ大井町,東京都品川区大井１-25-3,品川区,ＪＲ京浜東北線「大井町」徒歩4分,ＪＲ京浜東北線,大井町,0,4,22.15m2（壁芯）,5.75m2,1DK,1977年8月,1,0
2190万円,ワコー洗足マンション,東京都大田区北千束１-10-3,大田区,東急目黒線「洗足」徒歩6分,東急目黒線,洗足,0,6,37.35m2（11.29坪）,5.07m2,1LDK,1978年6月,0,0
2280万円,大森サンハイツ,東京都品川区南大井３,品川区,ＪＲ京浜東北線「大森」徒歩7分,ＪＲ京浜東北線,大森,0,7,32.4m2（壁芯）,4.32m2,1DK,1973年5月,0,1
2290万円,シャンボール田園調布,東京都大田区田園調布本町46-5,大田区,東急池上線「雪が谷大塚」徒歩9分,東急池上線,雪が谷大塚,0,9,34.16m2（壁芯）,5.94m2,1LDK,1971年5月,1,0
2350万円,ニュー池尻マンション,東京都世田谷区池尻３-３０－５,世田谷区,東急田園都市線「池尻大橋」徒歩8分,東急田園都市線,池尻大橋,0,8,34.76m2（登記）,1.78m2,1DK,1971年7月,0,0
2380万円,ライオンズマンション仲六郷,東京都大田区仲六郷３,大田区,京急本線「雑色」徒歩3分,京急本線,雑色,0,3,42m2,5.48m2,1LDK,1989年3月,0,0
2480万円,パラスト駒場,東京都目黒区大橋２,目黒区,東急田園都市線「池尻大橋」徒歩10分,東急田園都市線,池尻大橋,0,10,34.04m2（壁芯）,3.7m2,1DK,1973年2月,0,0
2480万円,祐天寺住研コーポ,東京都目黒区上目黒５,目黒区,東急東横線「祐天寺」徒歩11分,東急東横線,祐天寺,0,11,31.32m2（壁芯）,3.6m2,1LDK,1968年11月,0,0
2499万円,御殿山第１コーポラス,東京都品川区北品川５,品川区,京急本線「北品川」徒歩9分,京急本線,北品川,0,9,39.96m2（壁芯）,-,1DK,1970年5月,0,0
2499万円,御殿山第一コーポラス,東京都品川区北品川５,品川区,京急本線「北品川」徒歩9分,京急本線,北品川,0,9,39.36m2（11.90坪）（壁芯）,-,1LDK,1970年5月,0,0
2580万円,祐天寺センチュリー２１,東京都目黒区祐天寺２,目黒区,東急東横線「祐天寺」徒歩3分,東急東横線,祐天寺,0,3,29.3m2（8.86坪）（登記）,-,1DK,1984年12月,0,0
2580万円,祐天寺センチュリー２１,東京都目黒区祐天寺２,目黒区,東急東横線「祐天寺」徒歩3分,東急東横線,祐天寺,0,3,29.3m2（8.86坪）（登記）,1m2,1DK,1984年12月,0,1
2580万円,祐天寺住研コーポ,東京都目黒区上目黒５,目黒区,東急東横線「祐天寺」徒歩11分,東急東横線,祐天寺,0,11,31.32m2（壁芯）,3.66m2,1LDK,1968年11月,0,1
2598万円,【リノベ済×ルーフバルコニー×最上階】駅３分の好立地…,東京都世田谷区桜丘５,世田谷区,小田急線「千歳船橋」徒歩3分,小田急線,千歳船橋,0,3,42.63m2（壁芯）,22.89m2,1LDK,1979年6月,0,0
2598万円,桜丘リーダースマンション,東京都世田谷区桜丘５,世田谷区,小田急線「千歳船橋」徒歩3分,小田急線,千歳船橋,0,3,42.63m2,22.89m2,1LDK,1979年6月,1,0
2598万円,ライオンズマンション下丸子第二,東京都大田区下丸子１,大田区,東急多摩川線「下丸子」徒歩3分,東急多摩川線,下丸子,0,3,41.06m2（登記）,10m2,2DK,1977年7月,0,0
2599万円,山王スカイマンション,東京都大田区山王３,大田区,ＪＲ京浜東北線「大森」徒歩10分,ＪＲ京浜東北線,大森,0,10,54.9m2（壁芯）,4.32m2,1LDK,1970年10月,0,0
2599万円,山王スカイマンション,東京都大田区山王３,大田区,ＪＲ京浜東北線「大森」徒歩10分,ＪＲ京浜東北線,大森,0,10,54.9m2（壁芯）,4.32m2,1LDK,1970年10月,0,0
2600万円,ニックハイム大森海岸,東京都品川区南大井２,品川区,京急本線「大森海岸」徒歩5分,京急本線,大森海岸,0,5,39.6m2（壁芯）,-,1DK,1974年4月,0,0
2680万円,シャンボール武蔵小山,東京都品川区荏原４,品川区,東急目黒線「武蔵小山」徒歩8分,東急目黒線,武蔵小山,0,8,33.75m2（壁芯）,3.3m2,1DK,1971年7月,0,1
2690万円,山王スカイマンション,東京都大田区山王３,大田区,ＪＲ京浜東北線「大森」徒歩10分,ＪＲ京浜東北線,大森,0,10,58.85m2（壁芯）,1.51m2,2LDK,1970年10月,0,0
2740万円,等々力コーポラス,東京都世田谷区等々力２,世田谷区,東急大井町線「等々力」徒歩4分,東急大井町線,等々力,0,4,44.32m2（壁芯）,5.33m2,1LDK,1966年9月,1,0
